tcpdump -i eth0
16:57:25.474780 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16326664:16326924, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.474819 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16326924:16327184, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.474862 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16327184:16327444, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.474902 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16327444:16327704, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.474940 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16327704:16327964, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.474978 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16327964:16328224, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.475015 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16328224:16328484, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.475063 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16328484:16328744, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.475142 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16328744:16329004, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.475195 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16329004:16329264, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
16:57:25.475237 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 16329264:16329524, ack 9685, win 501, options [nop,nop,TS val 3769446304 ecr 827110504], length 260
