tcpdump -n -i eth0
17:06:18.306967 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26945680:26945892, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307004 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26945892:26946104, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307044 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26946104:26946316, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307081 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26946316:26946528, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307122 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26946528:26946740, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307158 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26946740:26946952, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307211 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26946952:26947164, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307252 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26947164:26947376, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307292 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26947376:26947588, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307330 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26947588:26947800, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307368 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26947800:26948012, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307405 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26948012:26948224, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307454 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26948224:26948436, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307493 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26948436:26948648, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307530 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26948648:26948860, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307566 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26948860:26949072, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.307609 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26949072:26949284, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307646 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26949284:26949496, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307685 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26949496:26949708, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307721 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26949708:26949920, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307760 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26949920:26950132, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307796 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26950132:26950344, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307835 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26950344:26950556, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307873 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26950556:26950768, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307913 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26950768:26950980, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307953 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26950980:26951192, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.307989 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26951192:26951404, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.308025 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26951404:26951616, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.308067 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26951616:26951828, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.308105 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26951828:26952040, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
