tcpdump -i eth0 tcp
17:07:54.221861 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13227928:13228188, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.221900 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13228188:13228448, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.221940 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13228448:13228708, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.221978 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13228708:13228968, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222016 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13228968:13229228, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222059 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13229228:13229488, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222097 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13229488:13229748, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222141 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13229748:13230008, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222180 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13230008:13230268, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222219 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13230268:13230528, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222258 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13230528:13230788, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
